耳罩	3M 1426 可调节经济型隔音耳罩 塑料+海绵 双色 头戴式 20副/箱（计价单位：副）
商用电饭煲	志高 JX-FJ120AZ 大容量电饭锅 12L 适合15人左右使用（计价单位：台）
液体胶水	得力 7303 液体胶水 125ml（计价单位：瓶） (12瓶/盒)
硒鼓	惠普（HP） CF325X 原装黑色硒鼓 适用M830/806系列 计价单位：支
床	顺灿达LED机床灯 防水强磁性 开关磁 9W 110V-220V 500mm
路由器	TP-LINK TL-WAR2600L 无线路由器 黑色（计价单位：台）
清洁手推车	古达脚踏式铁塑两用油桶搬运车 称重：350公斤
墨盒	惠普（HP） C4936A 18号 黑色墨盒(适用HP Officejet L7380 L7580 L7590 K8600 K5300)(计价单位：个)
美工刀	齐心 B2801 大号舒适防滑美工刀 18mm 颜色随机 （计价单位：把） (12把/盒)
墨盒	惠普（HP） C4937A 18号墨盒 青色(适用Officejet L7380 L7580 L7590 K8600 K5300)（计价单位：盒）
工具组套	世达（SATA） DY06503 家用工具36件维修工具箱套装
墨盒	惠普（HP） C4939A 18号墨盒 黄色 适用：Officejet L7380 L7580 L7590 K8600 K5300(计价单位：个）
空调	美的 KFR-120QW/SDY-B(D2) 空调 白色/冷暖/5匹/嵌入式/定频/380V/二级/六年保修
擦手纸	维达 VS2156 擦手纸 200张 20包/箱 （计价单位：箱）
墨盒	惠普（HP） C4938A 18号 品红色墨盒(适用Officejet L7380 L7580 L7590 K8600 K5300) （计价单位：个）
洗洁精	都洁 10kg 餐具洗洁精 柠檬味 (计价单位:桶)
硒鼓	惠普（HP） 204A 硒鼓 适用于：HP M154a （计价单位：支） CF510A 黑色
硒鼓	惠普（HP） 204A 硒鼓 适用于：HP M154a CF511A 青色（计价单位：支）
硒鼓	惠普（HP） 204A 硒鼓 适用于：HP M154aCF512A 黄色（计价单位：支）
硒鼓	惠普（HP） 204A 硒鼓 适用于：HP M154a（计价单位：支） CF513A 红色
沙发	"沃盛 YSD37# 沙发组合 优质加厚西皮饰面 高密度回弹海绵 780*780*720mm单人
拉杆箱	 1700*780*720mm三人 黑色"
墨盒	惠普（HP） CD972AA 920XL号 超高容青色墨盒（适用Officejet Pro 6000 6500 7000） 计价单位：个
洗洁精	奇强 无磷型 全新升级洗洁精 柠檬超洁 1.29kg/桶
洗衣粉	奇强速效洗衣粉 依兰花果香 3千克+200克大包装 无磷
照片打印机	爱普生 WF-7218 A3+彩色商务打印机 567*424*304mm 黑色 （计价单位：台）
墨盒	惠普（HP） CD973AA 920XL号 超高容品红色墨盒（适用Officejet Pro 6000 6500 7000）计价单位：个
墨盒	惠普（HP） CD974AA 920XL号超高容黄色墨盒（适用Officejet Pro 6000 6500 7000） 计价单位：个
鼠标	罗技 m170 无线鼠标 灰色
鼠标	罗技 m170 无线鼠标 蓝色
显示器	NEC P212-BK 专业制图设计液晶显示器 IPS宽屏 21英寸 黑色（计价单位：台）
复印纸	晨光 APYVS959 复印纸 A4 70g 500张/包 5包/箱（计价单位：箱）
镜头	佳能 EF24-70mmF/2.8L IIUSM 大三元镜头
复印纸	金旗舰 A4  80g 复印纸 500张/包  5包/箱（计价单位：箱）
复印纸	得力 7414 复印纸 A4 80g 500张*8包/箱 莱茵河系列 （计价单位：箱）
硒鼓	惠普（HP） Q7551A 原装硒鼓黑色 适用M3027M3035MFP P3005（计价单位：支）
转换器	毕亚兹 ZH32 VGA转HDMI转换器带音频 黑色 20cm长
墨盒	惠普（HP） C8727A 27号 黑色墨盒（适用Officejet 5608 5609 5679） 计价单位：个
断线钳	得力 DL2624 钢制断线钳 24*600mm 剪切直径:10mm 尺码：：63.5*15.5*26.5cm
指挥尺	国产手提白色塑料袋 宽22.5cm 小号 50个/包
砧板	优斯特 38*27 天然橡木菜板（计价单位：块）
电视机	创维 43E381S LED电视 43寸 黑色（计价单位：台）
碎纸机	三木 SD9331D 碎纸机 德国5级保密 高效静音 356×260×556mm 黑色
双面胶	得力 30407 棉纸双面胶带 24mm*10y*80um 白（计价单位：卷）
混水阀开关	德玛仕 KS-60P 电热开水器 全自动进水 不锈钢 (含安装拆除费用)(计价单位:台)
双面胶	得力 30401 双面胶 12mm*10y/卷 （计价单位：卷） (24卷/袋)
防寒服	XINTOWN翻领军大衣 长175CM 军绿色 长款 保暖 加厚 防寒
铲子	家英炒菜铲子 304不锈钢 全长36cm（计价单位：把）
美工刀片	齐心 B2852 美工刀片18mm 10片/盒（计价单位：盒） (24盒/包)
支架	NB T718-2 投影仪支架 可调伸缩架 长度530mm-830mm（白色）含安装
U盘	三星 Bar-64BA/CN 64GB USB3.0  U盘 银色
存储卡	三星 MB-MC128G/CN 存储卡 128GB 读速100MB/s 红色 （10个/盒）
屏风工位	华都 HDP-22 单人拐角组合屏风工位 优选E1级环保板材 胡桃木皮饰面 1200*1200*750mm 胡桃色 （计价单位：组）
订书机	益而高 3001BD 10#卓越型订书机 颜色随机（计价单位：个）
存储卡	三星 MB-MP128G/CN 128GB TF（MicroSD）存储卡（计价单位：张）
工具组套	吉米 JM-GT60 60件家用多功能维修工具套装 335*267*730mm
订书机	益而高 S6086B 24/6#风云系列订书机 颜色随机（计价单位：个）
墨盒	惠普（HP） 727号300ML 墨盒 适用于T920/T930/T1500/T2500 C1Q12A 消光黑
削笔机	益而高 EG-5017 全自动削笔机 颜色随机（计价单位：个）
饮水机	安吉尔 Y2686LKD-J-N 下置式饮水机 冷热型外置底盘加热(计价单位:台)
硬盘	三星 MZ-76E250B 860 EVO固态硬盘  250G 2.5英寸 黑色 （计价单位：个）
SSD固态硬盘	三星 MZ-76E500B 固态硬盘  500G 2.5英寸 860 EVO系列 黑色(计价单位：个)
冰箱	银都 JBL0542 四门双温冰箱冷冻冰柜 1200*715*1895mm（计价单位：台）
SSD固态硬盘	三星 MZ-V7P512BW 固态硬盘 512G NVMe M.2 970 PRO系列（计价单位：个）
移动固态硬盘	三星 MU-PA500B 500G USB3.1 移动固态硬盘 PSSD T5 珊瑚蓝（计价单位：个）
激光打印机	惠普（HP） M254dn A4彩色激光打印机 白色 （计价单位：台）
中性笔	晨光 G-5替芯 按动中性笔替芯 0.5mm黑色 20支/盒（新老包装交替发货）
投影机	爱普生 CB-1780W 投影机 宽屏 3000流明 1.2倍变焦 超薄（计价单位：台）
碗	妙洁 6125 海绵洗碗棉 四色分用 11*7cm 8片/袋 （计价单位：袋）
床品三件套	云瑾 YJ0005 单人被褥套装六件套 全棉 军绿色 （计价单位：套）
白板笔	晨光 98302 儿童磁性学习白板套装 附带白板笔白板擦磁扣  25×35cm  颜色随机
交换机	TP-LINK TL-SF1005P 交换机 5口百兆POE供电（计价单位：台）
交换机	TP-LINK TL-SG1008M 8口全千兆以太网交换机
封箱胶带	晨光 97384 封箱超透胶带 48mm×50y（码）
交换机	TP-LINK TL-SG1005P 5口千兆非网管PoE交换机 黑色  计价单位：个
乳胶手套	宜洁 Y-9866 灵巧型乳胶手套 M号 颜色随机 （计价单位：副）
复印纸	蓝欣乐纯白环保复印纸 A4 70g 500张/包 8包/箱 （计价单位：包）
碗	华星 35*35 蓝色 纳米抹布
档案盒	得力 33441 档案盒  A4-S5.5CM   蓝色
墨盒	惠普（HP） C8765ZZ 852号 黑色墨盒（适用B8338 Deskjet 9808 Officejet H470b） (计价单位：个)
墨盒	惠普（HP） C8766ZZ 855号彩色墨盒（适用Photosmart B8338 9808 K7108） (计价单位：个)
阻燃服	威特仕 44-2130 上身焊服 金黄色 皮制 耐磨防火 适用焊接等工种 XXL（计价单位：件）
阻燃服	威特仕 44-2130 上身焊服 金黄色 皮制 耐磨防火 适用焊接等工种 L（计价单位：件）
焊接防护服	威特仕 44-2530 上身焊服 黄色 皮质 阻燃耐磨 适用于焊接工种 L（计价单位：件）
焊接防护服	威特仕 44-2530 上身焊服 黄色 皮质 阻燃耐磨 适用于焊接工种 XL（计价单位：件）
焊接防护服	威特仕 44-2530 上身焊服 黄色 皮质 阻燃耐磨 适用于焊接工种 XXL（计价单位：件）
焊接防护服	威特仕 44-2530 上身焊服 黄色 皮质 阻燃耐磨 适用于焊接工种 XXXL（计价单位：件）
阻燃服	威特仕 44-7300 上身焊服 咖啡色 皮质 耐磨防火 适用于焊接等工种 L（计价单位：件）
阻燃服	威特仕 44-7300 上身焊服 咖啡色 皮质 耐磨防火 适用于焊接等工种 XL（计价单位：件）
阻燃服	威特仕 44-7300 上身焊服 咖啡色 皮质 耐磨防火 适用于焊接等工种 XXL（计价单位：件）
阻燃服	威特仕 44-7300 上身焊服 咖啡色 皮质 耐磨防火 适用于焊接等工种 XXXL（计价单位：件）
阻燃服	威特仕 44-7530 上身焊服 咖啡色 皮质 耐磨防火 适用于焊接等工种 M（计价单位：件）
阻燃服	威特仕 44-7530 上身焊服 咖啡色 皮质 耐磨防火 适用于焊接等工种 L（计价单位：件）
阻燃服	威特仕 44-7530 上身焊服 咖啡色 皮质 耐磨防火 适用于焊接等工种 XXL（计价单位：件）
阻燃服	威特仕 44-7530 上身焊服 咖啡色 皮质 耐磨防火 适用于焊接等工种 XXXL（计价单位：件）
绝缘鞋	威特仕 33-0001 低帮安全鞋 牛皮面料 黑色 防砸AN2 LD50-94 防刺穿 37(计价单位:双)
劳保手套	威特仕 10-2209 手套 黄+灰色 皮质 适用于搬运 打磨 切割 焊接等 L（计价单位：副）
劳保手套	威特仕 10-2209 手套 黄+灰色 皮质 适用于搬运 打磨 切割 焊接等 XL（计价单位：副）
劳保手套	威特仕 10-2255 手套 黄+绿色 皮质 耐低温零下50度 L（计价单位：副）
劳保手套	威特仕 10-2255 手套 黄+绿色 皮质 耐低温零下50度 XL（计价单位：副）
劳保手套	威特仕 10-2266 手套 棕色 绒面皮质 耐低温零下50度 L（计价单位：副）
劳保手套	威特仕 10-2266 手套 棕色 绒面皮质 耐低温零下50度 XL（计价单位：副）
劳保手套	威特仕 10-2300 手套 咖啡色 皮质 适用于切割 驾驶 轻度焊 L（计价单位：副）
劳保手套	威特仕 10-2300 手套 咖啡色 皮质 适用于切割 驾驶 轻度焊 XL（计价单位：副）
劳保手套	威特仕 10-2806 手套 双色 皮质 适用于搬运 铸造等工种 L（计价单位：副）
劳保手套	威特仕 10-2806 手套 双色 皮质 适用于搬运 铸造等工种 XL（计价单位：副）
隔热手套	威特仕 10-4900 耐高温手套 多色 皮质 适合在330度高温下持续工作或538度超高温下间断工作 L（计价单位：副）
隔热手套	威特仕 10-4900 耐高温手套 多色 皮质 适合在330度高温下持续工作或538度超高温下间断工作 XL（计价单位：副）
插座	公牛 GN-109K-1.8米 电源插座 1控6位（六个三项） 白色(计价单位:个)
插座	公牛 GN-109K 电源插座 一控六（六个三项）3m 白色 (计价单位:个）
车贴	N次贴 32003 三色便条贴 76*25mm
喷墨打印机	惠普（HP） HP OfficeJet Pro 8210 彩色喷墨打印机 黑色(计价单位：台）
订书机	得力 0305 经济实惠订书机12＃ 颜色随机 （计价单位：个）
电池/充电器	Fenix菲尼克斯 ARE-X1 充电套装 ARE-X1充电器+ARB-L18-2600电池 （计价单位：套）
锂离子可充电电池	Fenix菲尼克斯 ARB-L18-3500 18650锂离子USB充电电池 3500mAh (计价单位：个)
强光手电筒	Fenix菲尼克斯 ARB-L18-2600 18560锂离子凸头充电电池 2600mAh (计价单位：个)
高拍仪	方正 Q1180 高拍仪 1000万像素 A3幅面(计价单位：台）
订书机	得力 0325 精致型订书机 12#（计价单位：个)
订书机	得力 0326 订书机带起钉器 24/6（计价单位：个） (12个/盒)
橡胶手套	代尔塔工作劳保手套 氯丁橡胶 耐油耐热防酸碱防化 黑色 长度38cm 厚度0.78mm 均码
电子屏	华升黑豹 WSL-817 手提式可充电LED防爆探照灯 尺寸：10.5*18.3*10cm
多功能一体机	柯尼卡美能达 bizhub 3000MF A4黑白激光双面多功能一体机  打印/复印/扫描
插线板	公牛 GN-212 插线板 新国标 1.8m 10A 3位（计价单位：个）
插线板	公牛 GN212 插线板 新国标 3m 10A 3位（计价单位：个）
多功能一体机	爱普生 L3119 彩色原装墨仓式多功能一体机 （计价单位：台）
吹风机	科麦斯 1200 小型清灰除尘吹风机 220V 黄色 适用于：电脑、打印机
电热水器	美的 F80-21BA1（HY） 电热水器 白色 （计价单位：台）
交换机	TP-LINK TL-SF1005D 网络交换机 黑色（计价单位：个）
交换机	TP-LINK TL-SF1009PE 网络交换机（计价单位：个）
文胸/内裤	先农氏 真空包装 绿小米 4袋*400g/袋 （计价单位:组）
碎纸机	震旦 AS069CD 专业办公家用大功率大型碎纸机 深灰色（计价单位：台）
抱枕靠垫	牧田 MLT100 木工台锯 带斜切 1500w 960-1315mm*690-1135mm
米/油	先农氏 360g*4袋 荞麦米 真空包装（计价单位：组）
碎纸机	震旦 AS2260CD 大功率大容量专业办公碎纸机 银色（计价单位：台）
勺铲	宜洁 Y-9737 长柄榉木铲 39*10cm
订书钉	得力 0393 加厚订书器 可钉210页(计价单位：个) (6个/箱)
订书器	得力 0394 厚层订书器 可钉80页（计价单位：个） (12个/箱)
插线板	公牛 GN-402 插线板 新国标 1.8m 10A 6位（计价单位：个）
削笔器	得力 0594 迷你转笔刀 小号卷笔刀削笔器（计价单位：个） (48个/桶)
削笔机	得力 0610 卡通削笔机（计价单位：个）
直尺	得力 6240 塑料直尺40cm （计价单位：把）
直尺	得力 6250 塑料直尺50cm（计价单位：把） (20把/盒)
直尺	得力 8463 钢直尺 30cm （计价单位：把） (24把/盒)
长尾夹/白钢夹/票夹	得力 8551 彩色长尾夹 50mm 1# 12个/筒(计价单位：筒)
插线板	公牛 GN-403 插线板 新国标 10m 10A 8位（计价单位：个）
订书钉	得力 0014 订书针
起钉器	得力 0231 起钉器 12#（计价单位：个）
白板擦	得力 7810 白板擦
长尾夹/白钢夹/票夹	得力 9542 2#长尾票夹 41mm 黑 12只/盒 (计价单位：盒)
插线板	公牛 GN-603 插线板 新国标 3m 10A 6位（计价单位：个）
复印机墨粉	莱盛 LSWL-CB435A 粉盒 黑色 适用于惠普 CB435/P1005/P1006/佳能LBP 3018/6018 （计价单位：个）
沐浴露	宜洁 Y-9339 反向伞 聚酯纤维面料 钢杆吕骨 半径60cm*8k 手动直杆 浪漫星空 （计价单位：把）
硒鼓	惠普（HP） CF511A 204A 青色硒鼓 适用于M154 M180 M181 （计价单位：支）
硒鼓	惠普（HP） CF513A 204A 品红色硒鼓 适用于M154 M180 M181（计价单位：支）
硒鼓	惠普（HP） CF512A 204A 黄色硒鼓 适用于M154 M180 M181（计价单位：支）
削笔器	得力 0610B 手摇式削笔器（计价单位：个）
勺子	宜洁 Y-9841 致优不锈钢粥勺 32*9cm (计价单位：把)
勺子	宜洁 Y-9847 致优不锈钢茶勺 （计价单位：把）
碳粉	莱盛 10100 碳粉
乳胶手套	宜洁 Y-9867 灵巧型乳胶手套 L号 颜色随机
橡胶手套	宜洁 Y-9873 光里橡胶手套 防冻防滑 38cm 粉色 （计价单位：双）
垃圾袋	宜洁 Y-9411 点断垃圾袋 塑料 45cmx50cm 30只*5卷*1包 黑色 （计价单位：包）
插座	公牛 GN-612 插座 一控二 1.8m 蓝白色（计价单位：个）
抹布	宜洁 Y-9535 一次性厨用抹布 无纺布 20*x20cm*40周*2卷*1包 颜色随机 （计价单位：包）
垃圾袋	宜洁 Y-9649 工业型垃圾袋（大号） 100*120cm*10只 黑色 （计价单位：卷）
一次性纸杯	宜洁 Y-9925 一次性纸杯 250ml 50只/袋 （计价单位：袋）
一次性纸杯	宜洁 Y-9960 增厚一次性纸杯 250ml 50只/包 （计价单位：包）
一次性纸杯	宜洁 Y-9961 增厚一次性纸杯 250ml 80只/包 （计价单位：包）
清洁球	宜洁 Y-9964 清洁球 6只/包 （计价单位：包）
垃圾袋	宜洁 Y-9410 背心垃圾袋（4卷装） 塑料 45cm*60cm 30只*4卷*1包 颜色随机 （计价单位：包）
路由器	TP-LINK TL-WDR8630 黑色 双频无线2600M 千兆端口大户型穿墙智能路由器（计价单位：台）
多功能一体机	东芝 FC-2010AC A3多功能彩色激光数码复合机  双面打印复印扫描+输稿器+双纸盒工作台（计价单位：台）
保护器	正泰 NXB-63 小型断路保护器 C32 2P 400v 50HZ 白色（计价单位：个）
复印机墨粉	东芝 T-FC415C-K 墨粉 黑色 高容 适用：2010AC;2510AC;2515AC;3015AC;4515AC;5015AC（计价单位：支）
复印机墨粉	东芝 T-FC415C-M 墨粉 品红色 高容 适用于2010AC 2510AC 2515AC 3015AC 4515AC 5015AC （计价单位：支）
复印机墨粉	东芝 T-FC415C-Y 墨粉 黄色 高容 适用于2010AC 2510AC 2515AC 3015AC 4515AC 5015AC （计价单位：支）
复印机墨粉	东芝 T-FC415C-C 墨粉 青色 高容 适用于2010AC 2510AC 2515AC 3015AC 4515AC 5015AC （计价单位：支）
一次性手套	舒润一次性PE薄膜手套 透明 均码 40只装
职员椅	得力 4913 电脑升降办公皮椅 黑 66*66*113-121cm(计价单位：把)
U盘	朗科 U366 推拉式全金属U盘 加密优盘 32GB  曜石黑 56.5x20x8.3mm
